"id","civilite","prenom","nom","naissance","profession","groupe","ncirco","circo","debut","duree","age","premiereElection"
"384","M.","Jacques","Bascou","-528771600","Cadre territorial","SRC","2","Aude","1182290400","14.4413188582","57","1997"
"390","Mme","Sylvia","Bassot","-916365600",,"UMP","3","Orne","1182290400","15.4953914113","71","1996"
"394","M.","Christian","Bataille","-745981200","Professeur de lettres","SRC","22","Nord","1182290400","23.292790453","64","1988"
"405480","M.","François","Pupponi","-234234000","Directeur divisionnaire des Impôts","SRC","8","Val-d'Oise","1197759600","3.90595495221","48","2007"
"410","M.","François","Bayrou","-587178000","Professeur agrégé de lettres","NI","2","Pyrénées-Atlantiques","1182290400","18.9451974802","59","1986"
"412525","M.","Dominique","Souchet","-741056400","Conseiller des affaires étrangères hors classe (en détachement)","NI","5","Vendée","1208037600","3.58026478566","64","2008"
"414","M.","Patrick","Beaudouin","-528166800","Consultant en communication et relations publiques","UMP","6","Val-de-Marne","1182290400","9.39545985753","57","2002"
"417099","M.","Arnaud","Robinet","168044400","Enseignant - Chercheur - Praticien hospitalier","UMP","1","Marne","1229295600","2.90663941491","35","2008"
"424679","Mme","Anny","Poursinoff","-573526800","Infirmière","GDR","10","Yvelines","1278885600","1.33522714021","59","2010"
"427304","M.","Joël","Regnault","-636080400","Exploitant agricole","UMP","12","Yvelines","1311976800","0.286630288742","61","2011"
"441","Mme","Huguette","Bello","-610851600","Directrice d'école maternelle","GDR","2","Réunion","1182290400","14.4413188582","60","1997"
"475","M.","Jean-Louis","Bernard","-1002157200","Chirurgien retraité","UMP","3","Loiret","1182290400","18.4933380232","72","1993"
"479","M.","Marc","Bernier","-842752800","Chirurgien-dentiste","UMP","2","Mayenne","1182290400","9.39545985753","67","2002"
"493","M.","Jean-Yves","Besselat","-821494800",,"UMP","7","Seine-Maritime","1182290400","16.0320101655","68","1995"
"503","M.","Jean-Louis","Bianco","-851130000","Conseiller d'Etat","SRC","1","Alpes-de-Haute-Provence","1182290400","14.4413188582","67","1997"
"508","Mme","Gisèle","Biémouret","-553654800","Assistante parlementaire","SRC","2","Gers","1182290400","4.39614432023","58","2007"
"513","M.","Jérôme","Bignon","-662691600","Avocat au Barreau de Paris","UMP","3","Somme","1182290400","13.4474790225","61","1993"
"522","M.","Jean-Marie","Binetruy","-740365200","Enseignant","UMP","5","Doubs","1182290400","9.39545985753","64","2002"
"525","M.","Claude","Birraux","-755830800","Ingénieur","UMP","4","Haute-Savoie","1182290400","33.2914215276","64","1978"
